session_id,session_len,warmup_optimal_games,fg_result_score,fg_pl,fg_rating_diff,fg_my_rating,fg_opp_rating,fg_time_of_day,fg_day_of_week,fg_phase,fg_rated_int,fg_num_blunders,fg_num_mistakes,fg_avg_move_time,hist_n_games,hist_mean_pl,hist_std_pl,hist_mean_result,hist_std_result,hist_mean_rating_diff,hist_mean_my_rating,hist_mean_opp_rating,hist_mean_blunders_lastN,hist_mean_mistakes_lastN,hist_mean_move_time_lastN,warmup_pred
47,5,2,1.0,1.0,-9.0,1890.0,1881.0,5.4,0.0,0.0,1,,,,30,0.1,0.9780933834080807,0.55,0.48904669170404036,-0.9333333333333333,1888.3333333333333,1887.4,,,,1.5936542
55,9,1,0.0,-1.0,63.0,1943.0,2006.0,17.166666666666668,4.0,0.0,1,,,,30,0.13333333333333333,0.9568466729604881,0.5666666666666667,0.47842333648024404,-1.5666666666666667,1928.5,1926.9333333333334,,,,1.2038301
65,14,0,1.0,1.0,10.0,1915.0,1925.0,19.066666666666666,1.0,0.0,1,,,,30,-0.13333333333333333,0.9568466729604881,0.43333333333333335,0.47842333648024404,-5.166666666666667,1928.3,1923.1333333333334,,,,0.4711191
66,2,0,1.0,1.0,31.0,1928.0,1959.0,20.783333333333335,1.0,0.0,1,,,,30,0.06666666666666667,0.9637888196533974,0.5333333333333333,0.4818944098266987,-10.933333333333334,1924.0666666666666,1913.1333333333334,,,,0.4832644
70,1,0,0.0,-1.0,-8.0,1912.0,1904.0,18.233333333333334,3.0,0.0,1,,,,30,-0.1,0.9780933834080806,0.45,0.4890466917040403,-5.933333333333334,1923.6,1917.6666666666667,,,,0.27333203
76,9,4,0.0,-1.0,49.0,1895.0,1944.0,7.283333333333333,5.0,0.0,1,,,,30,-0.13333333333333333,0.9910712498212335,0.43333333333333335,0.49553562491061676,1.7,1902.9333333333334,1904.6333333333334,,,,2.493434
77,1,0,0.0,-1.0,0.0,1873.0,1873.0,8.716666666666667,5.0,0.0,1,,,,30,-0.26666666666666666,0.9637888196533972,0.36666666666666664,0.48189440982669857,11.133333333333333,1891.4666666666667,1902.6,,,,-0.00872302
78,1,0,0.0,-1.0,-22.0,1867.0,1845.0,11.25,5.0,0.0,1,,,,30,-0.26666666666666666,0.9637888196533972,0.36666666666666664,0.48189440982669857,11.4,1890.1666666666667,1901.5666666666666,,,,-0.016824484
79,18,5,1.0,1.0,73.0,1861.0,1934.0,19.0,5.0,0.0,1,,,,30,-0.26666666666666666,0.9637888196533971,0.36666666666666664,0.48189440982669857,12.0,1888.8666666666666,1900.8666666666666,,,,0.32991022
94,9,5,0.0,-1.0,242.0,1701.0,1943.0,18.433333333333334,2.0,0.0,1,,,,30,-0.3333333333333333,0.9067647005823628,0.3333333333333333,0.4533823502911814,46.8,1830.2666666666667,1877.0666666666666,,,,0.95233524
99,2,0,0.0,-1.0,336.0,1642.0,1978.0,20.433333333333334,3.0,0.0,1,,,,30,-0.26666666666666666,0.9285592184789412,0.36666666666666664,0.4642796092394706,135.5,1451.3666666666666,1586.8666666666666,,,,1.5563045
105,35,0,1.0,1.0,-15.0,1836.0,1821.0,13.883333333333333,6.0,0.0,1,,,,30,-0.06666666666666667,0.9977753031397177,0.4666666666666667,0.49888765156985887,12.1,1832.6666666666667,1844.7666666666667,,,,1.6697302
